Key|Summary|Created Date|Resolution Date|Status|Type|Lead Time|Cycle Time|Resolution Type|Project
GGMA-685|Fields removed from Internet is not working form|2013-05-23|Closed|Story|24|0|Complete
GGMA-686|Two Questions that are Mutually Exclusive|2013-05-23|Closed|Story|24|0|Complete
GGMA-687|Changes for Preventing Unwanted Calls|2013-05-23|Closed|Story|24|0|Complete
GGMA-688|Date & Time - Incorrect Balance / Charges Form|2013-05-23|Closed|Story|24|0|Complete
GGMA-689|Field Removed - Cancel Your Queued Goodybag Form|2013-05-23|Closed|Story|24|0|Complete
GGMA-690|Label Change and Button Updates|2013-05-23|Closed|Story|24|0|Complete
GGMA-691|Update to Category Name|2013-05-23|Closed|Story|24|0|Complete
GGMA-722|Validation in Port In Page for an Invalid MSISDN |2013-09-25|Closed|Defect|148|0|Fixed
GGMA-743|Bulk update members to one tethering profile|2013-05-22|Closed|Story|19|0|Complete
GGMA-753|Misunderstanding in passing the 4th parameter to str_replace|2013-09-02|Closed|Defect|118|0|Fixed
GGMA-766|Update URLs Currently Used for PHG Orders|2013-06-03|Closed|Story|27|0|Complete
GGMA-793|Ops Investigation - Goodybag inconsistency on bundle expiry +1 day on FJS|2013-08-19|Closed|Story|101|0|Fixed (Externally)
GGMA-811|port_out_requests_xxxxxx.csv file has extra characters at end of each line|2013-05-30|Closed|Defect|17|0|Fixed
GGMA-813|Recurred Hokey Cokey Goodybag is Not Showing Data Allowance|2013-05-23|Closed|Defect|9|0|Complete
GGMA-816|card details not saved during activation and recurring not kicking off after release 5.11|2013-05-15|Closed|Defect|0|0|Fixed
GGMA-818|CDR Source - inaccurate revenue reporting|2016-03-10|Closed|Story|1030|0|Complete
GGMA-921|Add change link in Basket when No credit is added|2013-05-20|Closed|Story|5|0|Fixed
GGMA-922|Improve confirmation copy on activation|2013-05-22|Closed|Story|7|0|Fixed
GGMA-821|iPhone App doesnt display the current data bundle after the 5.11 release|2015-08-13|Closed|Defect|819|0|Complete
GGMA-839|Addition of Activation Code in the customer_sim feed|2013-06-03|Closed|Story|18|0|Complete
GGMA-868|Zombie Campaign Packs|2013-05-23|Closed|Story|7|0|Complete
GGMA-877|Members are unable to submit port-in requests|2013-08-20|Closed|Defect|96|0|Fixed
GGMA-914|we cant order MGM SIM Orders via napaman |2013-05-24|Closed|Defect|7|0|Fixed
GGMA-929|Credit Icon shadow|2013-05-21|Closed|Story|1|0|Fixed
GGMA-930|XXXXXX on activation image|2013-05-21|Closed|Story|1|0|Fixed
GGMA-932|Ad-ex Implementation on Landing Pages|2013-07-10|Closed|Story|51|0|Complete
GGMA-933|BlackBerry product Modal overlay on activation|2013-06-05|Closed|Story|16|0|Complete
GGMA-935|Error messages on transaction failures|2013-06-11|Closed|Story|22|0|Fixed
GGMA-936|Improve bullets for SIM choice|2013-06-05|Closed|Story|16|0|Complete
GGMA-938|Landing Page Variation from Conversion Works|2013-05-22|Closed|Story|2|0|Fixed
GGMA-939|Nano SIM PPC Landing|2013-05-28|Closed|Story|8|0|Fixed
GGMA-940|New Brand Video Home Page|2013-06-24|Closed|Story|35|0|Complete
GGMA-943|Not interested in auto settings, Continue|2013-05-24|Closed|Story|4|0|Fixed
GGMA-944|Optimise Terms on Goodybag Pages|2014-02-24|Closed|Story|280|0|Complete
GGMA-946|Removing Opt In|2013-06-12|Closed|Story|23|0|Complete
GGMA-948|Which? logo in SIM order & HP|2013-06-27|Closed|Story|38|0|Complete
GGMA-949|Zombies video HP|2013-05-30|Closed|Story|10|0|Fixed
